Index,ExpirationDate,CallsLastPrice,CallsChange,CallsChangePct,CallsVolume,CallsOI,Strike,PutsLastPrice,PutsChange,PutsChangePct,PutsVolume,PutsOI,last_price_link,change_link,change_link,volume_link,open_interest_link,strike_link,last_price_link,change_link,change_link,volume_link,open_interest_link
46,2016-10-21,0.94,-0.35,-27.13%,"13,862","5,957",213.50,0.82,-0.14,-14.58%,"31,066","11,410",,,,,,/quote/SPY/options?strike=213.5&straddle=true,,,,,
47,2016-10-21,0.62,-0.40,-39.22%,"24,593","10,560",214.00,1.10,-0.07,-5.98%,"35,220","26,679",,,,,,/quote/SPY/options?strike=214&straddle=true,,,,,
48,2016-10-21,0.41,-0.35,-46.05%,"12,119","9,228",214.50,1.31,-0.14,-9.66%,"9,348","9,595",,,,,,/quote/SPY/options?strike=214.5&straddle=true,,,,,
49,2016-10-21,0.25,-0.29,-53.70%,"41,593","33,856",215.00,1.62,-0.11,-6.36%,"7,344","36,027",,,,,,/quote/SPY/options?strike=215&straddle=true,,,,,
50,2016-10-21,0.14,-0.22,-61.11%,"7,295","8,555",215.50,2.00,-0.10,-4.76%,"1,435","8,425",,,,,,/quote/SPY/options?strike=215.5&straddle=true,,,,,
51,2016-10-21,0.08,-0.16,-66.67%,"10,570","23,281",216.00,2.45,0.08,3.38%,"5,025","15,556",,,,,,/quote/SPY/options?strike=216&straddle=true,,,,,
52,2016-10-21,0.04,-0.11,-73.33%,"4,656","14,520",216.50,2.67,-0.48,-15.24%,157,"9,105",,,,,,/quote/SPY/options?strike=216.5&straddle=true,,,,,
53,2016-10-21,0.03,-0.07,-70.00%,"3,819","19,203",217.00,3.42,-0.14,-3.93%,"1,445","8,196",,,,,,/quote/SPY/options?strike=217&straddle=true,,,,,
54,2016-10-21,0.01,-0.05,-83.33%,993,"14,056",217.50,3.89,-0.38,-8.90%,109,"1,781",,,,,,/quote/SPY/options?strike=217.5&straddle=true,,,,,
55,2016-10-21,0.01,-0.03,-75.00%,"1,506","14,131",218.00,4.19,-0.39,-8.52%,"2,100","1,870",,,,,,/quote/SPY/options?strike=218&straddle=true,,,,,
56,2016-10-21,0.01,-0.02,-66.67%,445,"36,279",218.50,4.80,-0.90,-15.79%,1,774,,,,,,/quote/SPY/options?strike=218.5&straddle=true,,,,,
57,2016-10-21,0.02,0.00,0.00%,514,"19,500",219.00,5.06,-0.46,-8.33%,9,843,,,,,,/quote/SPY/options?strike=219&straddle=true,,,,,
58,2016-10-21,0.01,-0.01,-50.00%,241,"39,026",219.50,5.95,-0.13,-2.14%,1,923,,,,,,/quote/SPY/options?strike=219.5&straddle=true,,,,,
59,2016-10-21,0.01,0.00,0.00%,355,"15,617",220.00,6.35,0.25,4.10%,61,884,,,,,,/quote/SPY/options?strike=220&straddle=true,,,,,
60,2016-10-21,0.01,0.00,0.00%,16,"2,747",220.50,7.44,0.12,1.64%,1,372,,,,,,/quote/SPY/options?strike=220.5&straddle=true,,,,,
61,2016-10-21,0.02,0.01,100.00%,95,"8,637",221.00,7.45,0.00,0.00%,58,156,,,,,,/quote/SPY/options?strike=221&straddle=true,,,,,
62,2016-10-21,0.01,-0.01,-50.00%,"2,928","2,708",221.50,8.68,0.00,0.00%,1,10,,,,,,/quote/SPY/options?strike=221.5&straddle=true,,,,,
63,2016-10-21,0.01,0.00,0.00%,10,"9,535",222.00,9.24,0.00,0.00%,11,385,,,,,,/quote/SPY/options?strike=222&straddle=true,,,,,
64,2016-10-21,0.01,0.00,0.00%,106,"6,692",222.50,7.43,0.00,0.00%,10,15,,,,,,/quote/SPY/options?strike=222.5&straddle=true,,,,,
65,2016-10-21,0.01,0.00,0.00%,41,"3,372",223.00,6.55,-0.42,-6.03%,25,26,,,,,,/quote/SPY/options?strike=223&straddle=true,,,,,
66,2016-10-21,0.01,0.00,0.00%,1,"2,633",223.50,10.05,0.00,0.00%,2,5,,,,,,/quote/SPY/options?strike=223.5&straddle=true,,,,,
67,2016-10-21,0.01,0.00,0.00%,104,451,224.00,8.38,0.00,0.00%,10,7,,,,,,/quote/SPY/options?strike=224&straddle=true,,,,,
68,2016-10-21,0.02,0.00,0.00%,2,"1,694",224.50,7.37,0.00,0.00%,5,5,,,,,,/quote/SPY/options?strike=224.5&straddle=true,,,,,
69,2016-10-21,0.01,0.00,0.00%,5,"15,733",225.00,8.80,-1.40,-13.73%,480,35,,,,,,/quote/SPY/options?strike=225&straddle=true,,,,,
70,2016-10-21,0.01,-0.01,-50.00%,529,962,225.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=225.5&straddle=true,,,,,
71,2016-10-21,0.02,0.00,0.00%,8,"1,404",226.00,12.15,-0.09,-0.74%,21,45,,,,,,/quote/SPY/options?strike=226&straddle=true,,,,,
72,2016-10-21,0.01,-0.01,-50.00%,198,983,226.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=226.5&straddle=true,,,,,
73,2016-10-21,0.01,0.00,0.00%,2,188,227.00,13.79,4.33,45.77%,4,5,,,,,,/quote/SPY/options?strike=227&straddle=true,,,,,
74,2016-10-21,0.01,0.00,0.00%,3,4,227.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=227.5&straddle=true,,,,,
75,2016-10-21,0.02,0.01,100.00%,150,223,228.00,-,-,-,-,-,,,,,,/quote/SPY/options?strike=228&straddle=true,,,,,
76,2016-10-21,0.01,0.00,0.00%,41,41,228.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=228.5&straddle=true,,,,,
77,2016-10-21,0.01,0.00,0.00%,196,198,229.00,-,-,-,-,-,,,,,,/quote/SPY/options?strike=229&straddle=true,,,,,
78,2016-10-21,0.01,0.00,0.00%,93,160,230.00,15.68,-0.52,-3.21%,38,28,,,,,,/quote/SPY/options?strike=230&straddle=true,,,,,
79,2016-10-21,0.01,0.00,0.00%,23,0,232.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=232.5&straddle=true,,,,,
80,2016-10-21,0.01,0.00,0.00%,30,0,233.00,-,-,-,-,-,,,,,,/quote/SPY/options?strike=233&straddle=true,,,,,
81,2016-10-21,0.01,0.00,0.00%,75,0,235.00,21.24,0.00,0.00%,7,0,,,,,,/quote/SPY/options?strike=235&straddle=true,,,,,
82,2016-10-21,0.02,0.00,0.00%,1,1,237.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=237.5&straddle=true,,,,,
83,2016-10-21,0.01,0.00,0.00%,1,0,240.00,22.18,0.00,0.00%,10,5,,,,,,/quote/SPY/options?strike=240&straddle=true,,,,,
84,2016-10-21,0.02,0.00,0.00%,2,0,247.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=247.5&straddle=true,,,,,
85,2016-10-21,0.01,0.00,0.00%,1,0,252.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=252.5&straddle=true,,,,,
86,2016-10-21,-,-,-,-,-,260.00,44.78,0.00,0.00%,20,0,,,,,,/quote/SPY/options?strike=260&straddle=true,,,,,
87,2016-10-21,-,-,-,-,-,265.00,52.41,0.00,0.00%,10,10,,,,,,/quote/SPY/options?strike=265&straddle=true,,,,,
