,ExpirationDate,last_price,change,change,volume,open_interest,strike,last_price,change,change,volume,open_interest,last_price_link,change_link,change_link,volume_link,open_interest_link,strike_link,last_price_link,change_link,change_link,volume_link,open_interest_link
47,2016-10-21,2.38,-0.37,-13.45%,881,"4,809",214.00,0.31,-0.40,-56.34%,"33,050","38,633",,,,,,/quote/SPY/options?strike=214&straddle=true,,,,,
48,2016-10-21,2.03,-0.37,-15.42%,410,"5,802",214.50,0.40,-0.45,-52.94%,"4,539","7,622",,,,,,/quote/SPY/options?strike=214.5&straddle=true,,,,,
49,2016-10-21,1.63,-0.37,-18.50%,"5,257","11,387",215.00,0.53,-0.43,-44.79%,"40,336","17,477",,,,,,/quote/SPY/options?strike=215&straddle=true,,,,,
50,2016-10-21,1.27,-0.37,-22.56%,"5,273","8,710",215.50,0.63,-0.52,-45.22%,"4,381","9,371",,,,,,/quote/SPY/options?strike=215.5&straddle=true,,,,,
51,2016-10-21,1.03,-0.34,-24.82%,"19,220","15,882",216.00,0.80,-0.52,-39.39%,"23,804","17,540",,,,,,/quote/SPY/options?strike=216&straddle=true,,,,,
52,2016-10-21,0.74,-0.33,-30.84%,"15,669","8,949",216.50,1.04,-0.48,-31.58%,"31,938","5,581",,,,,,/quote/SPY/options?strike=216.5&straddle=true,,,,,
53,2016-10-21,0.51,-0.32,-38.55%,"15,323","14,903",217.00,1.27,-0.51,-28.65%,"14,827","7,893",,,,,,/quote/SPY/options?strike=217&straddle=true,,,,,
54,2016-10-21,0.30,-0.29,-49.15%,"16,494","10,235",217.50,1.73,-0.33,-16.02%,"1,606","2,154",,,,,,/quote/SPY/options?strike=217.5&straddle=true,,,,,
55,2016-10-21,0.17,-0.24,-58.54%,"12,663","9,405",218.00,2.11,-0.23,-9.83%,"1,460","1,662",,,,,,/quote/SPY/options?strike=218&straddle=true,,,,,
56,2016-10-21,0.09,-0.17,-65.38%,"28,476","19,431",218.50,2.55,-0.37,-12.67%,379,704,,,,,,/quote/SPY/options?strike=218.5&straddle=true,,,,,
57,2016-10-21,0.05,-0.12,-70.59%,"2,561","19,377",219.00,2.93,-0.42,-12.54%,541,999,,,,,,/quote/SPY/options?strike=219&straddle=true,,,,,
58,2016-10-21,0.03,-0.07,-70.00%,"27,324","15,997",219.50,3.30,-0.27,-7.56%,39,"1,051",,,,,,/quote/SPY/options?strike=219.5&straddle=true,,,,,
59,2016-10-21,0.02,-0.04,-66.67%,"3,820","13,324",220.00,3.88,-0.21,-5.13%,487,846,,,,,,/quote/SPY/options?strike=220&straddle=true,,,,,
60,2016-10-21,0.02,-0.02,-50.00%,"2,611","4,075",220.50,4.13,-0.55,-11.75%,5,370,,,,,,/quote/SPY/options?strike=220.5&straddle=true,,,,,
61,2016-10-21,0.01,-0.02,-66.67%,667,"8,324",221.00,4.69,-0.48,-9.28%,251,114,,,,,,/quote/SPY/options?strike=221&straddle=true,,,,,
62,2016-10-21,0.01,-0.01,-50.00%,"2,928","2,708",221.50,6.13,0.00,0.00%,1,11,,,,,,/quote/SPY/options?strike=221.5&straddle=true,,,,,
63,2016-10-21,0.01,-0.01,-50.00%,"2,234","7,504",222.00,5.45,-0.56,-9.32%,1,"1,171",,,,,,/quote/SPY/options?strike=222&straddle=true,,,,,
64,2016-10-21,0.01,0.00,0.00%,106,"6,692",222.50,7.43,0.00,0.00%,10,15,,,,,,/quote/SPY/options?strike=222.5&straddle=true,,,,,
65,2016-10-21,0.01,0.00,0.00%,41,"3,372",223.00,6.55,-0.42,-6.03%,25,26,,,,,,/quote/SPY/options?strike=223&straddle=true,,,,,
66,2016-10-21,0.01,0.00,0.00%,1,"2,633",223.50,10.05,0.00,0.00%,2,5,,,,,,/quote/SPY/options?strike=223.5&straddle=true,,,,,
67,2016-10-21,0.01,0.00,0.00%,104,451,224.00,8.38,0.00,0.00%,10,7,,,,,,/quote/SPY/options?strike=224&straddle=true,,,,,
68,2016-10-21,0.02,0.00,0.00%,2,"1,694",224.50,7.37,0.00,0.00%,5,5,,,,,,/quote/SPY/options?strike=224.5&straddle=true,,,,,
69,2016-10-21,0.01,0.00,0.00%,5,"15,733",225.00,8.80,-1.40,-13.73%,480,35,,,,,,/quote/SPY/options?strike=225&straddle=true,,,,,
70,2016-10-21,0.01,-0.01,-50.00%,529,962,225.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=225.5&straddle=true,,,,,
71,2016-10-21,0.02,0.00,0.00%,8,"1,404",226.00,9.95,-1.46,-12.80%,51,6,,,,,,/quote/SPY/options?strike=226&straddle=true,,,,,
72,2016-10-21,0.01,-0.01,-50.00%,198,983,226.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=226.5&straddle=true,,,,,
73,2016-10-21,0.01,0.00,0.00%,2,188,227.00,13.79,4.33,45.77%,4,5,,,,,,/quote/SPY/options?strike=227&straddle=true,,,,,
74,2016-10-21,0.01,0.00,0.00%,3,4,227.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=227.5&straddle=true,,,,,
75,2016-10-21,0.02,0.01,100.00%,150,223,228.00,-,-,-,-,-,,,,,,/quote/SPY/options?strike=228&straddle=true,,,,,
76,2016-10-21,0.01,0.00,0.00%,41,41,228.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=228.5&straddle=true,,,,,
77,2016-10-21,0.01,0.00,0.00%,196,198,229.00,-,-,-,-,-,,,,,,/quote/SPY/options?strike=229&straddle=true,,,,,
78,2016-10-21,0.01,0.00,0.00%,93,160,230.00,13.99,-1.66,-10.61%,10,11,,,,,,/quote/SPY/options?strike=230&straddle=true,,,,,
79,2016-10-21,0.01,0.00,0.00%,23,0,232.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=232.5&straddle=true,,,,,
80,2016-10-21,0.01,0.00,0.00%,30,0,233.00,-,-,-,-,-,,,,,,/quote/SPY/options?strike=233&straddle=true,,,,,
81,2016-10-21,0.01,0.00,0.00%,75,0,235.00,21.24,0.00,0.00%,7,0,,,,,,/quote/SPY/options?strike=235&straddle=true,,,,,
82,2016-10-21,0.02,0.00,0.00%,1,1,237.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=237.5&straddle=true,,,,,
83,2016-10-21,0.01,0.00,0.00%,1,0,240.00,22.18,0.00,0.00%,10,5,,,,,,/quote/SPY/options?strike=240&straddle=true,,,,,
84,2016-10-21,0.02,0.00,0.00%,2,0,247.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=247.5&straddle=true,,,,,
85,2016-10-21,0.01,0.00,0.00%,1,0,252.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=252.5&straddle=true,,,,,
86,2016-10-21,-,-,-,-,-,260.00,44.78,0.00,0.00%,20,0,,,,,,/quote/SPY/options?strike=260&straddle=true,,,,,
87,2016-10-21,-,-,-,-,-,265.00,52.41,0.00,0.00%,10,10,,,,,,/quote/SPY/options?strike=265&straddle=true,,,,,
